0,1,2,3,4,5
,,"Bachelor of Dental Surgery Bachelor of Medicine & Bachelor of Surgery
Bachelor of Medicine & Bachelor of Surgery (M.B.Ch.B) Bachelor of Medicine and Bachelor of Surgery
Bachelor of Medicine and Bachelor of Surgery (M.B.Ch.B) Bachelor of Medicine and Bachelor of Surgery (With IT)",,,
,13B,BIO - C+,CHE - C+,MAT ALTERNATIVE A/PHY - C+,ENG/KIS - C+
,,"Bachelor of Pharmacy Bachelor of Science (Nursing, With IT)
Bachelor of Science (Pharmaceutical Sciences, With IT) Bachelor of Science (Nursing)
Bachelor of Science (Environmental Health) Bachelor of Science in Nursing
Bachelor of Science in Environmental Health Bachelor of Science (Nursing Science)
Bachelor of Science in Environmental Health Sciences (Public Bachelor of Science (Medical Laboratory Science & Technology)
Health)
Bachelor of Science (Optometry and Vision Sciences) Bachelor of Science (Medical Laboratory Sciences)
Bachelor of Science (Physical Therapy) Bachelor of Science (Medical Laboratory)
Bachelor of Physiotherapy Bachelor of Science in Medical Laboratory Sciences
Bachelor of Science in Physiotherapy Bachelor of Technology (Medical Laboratory Science)
Bachelor of Science (Public Health, With IT) Bachelor of Science in Clinical Medicine and Community Health
Bachelor of Science in Public Health Bachelor of Science Clinical Medicine
Bachelor of Science (Public Health) Bachelor of Science in Clinical Medicine, Surgery and Community Health
Bachelor of Science in Public Health Bachelor of Science in Midwifery with Reproductive Health",,,
,,BIO - C (PLAIN),CHE - C (PLAIN),MAT ALTERNATIVE A/PHY - C (PLAIN),ENG/KIS - C (PLAIN)
,,,,,
DEGREE PROGRAMMES CLUSTERS,,,,,
CLUSTER,"SUB-
PROGRAMMES AND SUBJECT REQUIREMENTS
CLUSTER",,,,
,,"Bachelor of Science in Global Health and Emporiatrics
Bachelor of Science in Health Systems Management
Bachelor of Health Services Management
Bachelor of Science (Health Records and Informatics)
Bachelor of Science in Health Records and Information Management",,,
,13D,BIO - C+,CHE - C+,MAT ALTERNATIVE A/PHY/AGRIC- C+,
,,Bachelor of Veterinary Medicine,,,
,13E,BIO - C+,MAT ALTERNATIVE A - C+,,
,,"Bachelor of Science (Biostatistics)
Bachelor of Science in Biostatistics
Bachelor of Science in Epidemiology and Biostatistics",,,
,13F,BIO - C+,MAT ALTERNATIVE A/PHY - C+,,
,,"Bachelor of Science (Biomedical Science and Technology
Bachelor of Science in Biomedical Science and Technology
Bachelor of Science (Biomedical Science & Technology)
Bachelor of Science (Laboratory Sciences)
Bachelor of Technology (Science Laboratory Technology)
Bachelor of Science (Medical Psychology)",,,
14,,"Subject 1
HAG - C+","Subject 2
ENG/KIS","Subject 3
MAT ALTERNATIVE A/B or any GROUP II","Subject 4
A GROUP II or 2nd GROUP III or any GROUP IV or
any GROUP V"
,14A,HAG - C+,,,
,,"Bachelor of Arts History and Archaeology)
Bachelor of Arts (History)
Bachelor of Arts (History and Archaeology, With IT)
Bachelor of Arts in History & International Studies",,,
15,,"Subject 1
BIO","Subject 2
CHE","Subject 3
MAT ALTERNATIVE A/PHY/GEO","Subject 4
ENG/KIS or 3rd GROUP II or a GROUP III or any
GROUP IV or any GROUP V"
