0,1,2,3,4,5,6,7,8,9
34,1107115,ST PAULS UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,18.814,18.638,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
35,1114115,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,35.408,35.319,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
36,1164115,MULTIMEDIA UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,41.039,41.44,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
37,1173115,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,39.746,39.405,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
38,1196115,PRESBYTERIAN UNIVERSITY OF EAST AFRICA,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,18.814,18.638,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
39,1240115,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,33.433,33.475,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
40,1244115,KARATINA UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,24.643,24.097,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
41,1249115,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,44.101,43.809,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
42,1279115,MOUNT KENYA UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,39.238,37.675,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
43,1425115,ZETECH UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,18.814,18.638,MAT A(121):C+,PHY(232):C+,"ENG(101)/KIS(10
2):C",
1,1057120,EGERTON UNIVERSITY,BACHELOR OF SCIENCE,15.683,16.974,MAT A(121):C,"BIO(231)/CHE(23
3)/PHY(232):C","BIO(231)/CHE(23
3)/PHY(232):C",
2,1061120,KABARAK UNIVERSITY,BACHELOR OF SCIENCE,15.683,16.974,MAT A(121):C,"BIO(231)/CHE(23
3)/PHY(232):C","BIO(231)/CHE(23
3)/PHY(232):C",
3,1079120,KIRINYAGA UNIVERSITY,BACHELOR OF SCIENCE,15.683,16.974,MAT A(121):C,"BIO(231)/CHE(23
3)/PHY(232):C","BIO(231)/CHE(23
3)/PHY(232):C",
4,1096120,GARISSA UNIVERSITY,BACHELOR OF SCIENCE,15.683,16.974,MAT A(121):C,"BIO(231)/CHE(23
3)/PHY(232):C","BIO(231)/CHE(23
3)/PHY(232):C",
5,1105120,CHUKA UNIVERSITY,BACHELOR OF SCIENCE,15.683,16.974,MAT A(121):C,"BIO(231)/CHE(23
3)/PHY(232):C","BIO(231)/CHE(23
3)/PHY(232):C",
6,1246120,MURANG'A UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE,15.683,16.974,MAT A(121):C,"BIO(231)/CHE(23
3)/PHY(232):C","BIO(231)/CHE(23
3)/PHY(232):C",
7,1685120,THARAKA UNIVERSITY,BACHELOR OF SCIENCE,15.683,16.974,MAT A(121):C,"BIO(231)/CHE(23
3)/PHY(232):C","BIO(231)/CHE(23
3)/PHY(232):C",
8,1111120,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (B.SC),15.683,16.974,MAT A(121):C,"BIO(231)/CHE(23
3)/PHY(232):C","BIO(231)/CHE(23
3)/PHY(232):C",
9,1114120,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE (B.SC),15.683,16.974,MAT A(121):C,"BIO(231)/CHE(23
3)/PHY(232):C","BIO(231)/CHE(23
3)/PHY(232):C",
10,1249120,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE (B.SC),15.683,16.974,MAT A(121):C,"BIO(231)/CHE(23
3)/PHY(232):C","BIO(231)/CHE(23
3)/PHY(232):C",
11,1263120,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (B.SC),15.683,16.974,MAT A(121):C,"BIO(231)/CHE(23
3)/PHY(232):C","BIO(231)/CHE(23
3)/PHY(232):C",
12,1229120,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (BASIC SCIENCE, WITH IT)",15.683,16.974,MAT A(121):C,"BIO(231)/CHE(23
3)/PHY(232):C","BIO(231)/CHE(23
3)/PHY(232):C",
13,1515120,TOM MBOYA UNIVERSITY,"BACHELOR OF SCIENCE (BASIC SCIENCE, WITH IT)",15.683,16.974,MAT A(121):C,"BIO(231)/CHE(23
3)/PHY(232):C","BIO(231)/CHE(23
3)/PHY(232):C",
14,1093120,UNIVERSITY OF EMBU,BACHELOR OF SCIENCE (BSC.),15.683,16.974,MAT A(121):C,"BIO(231)/CHE(23
3)/PHY(232):C","BIO(231)/CHE(23
3)/PHY(232):C",
15,1118120,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (BSC.),15.683,16.974,MAT A(121):C,"BIO(231)/CHE(23
3)/PHY(232):C","BIO(231)/CHE(23
3)/PHY(232):C",
16,1253120,MOI UNIVERSITY,BACHELOR OF SCIENCE (BSC.),15.683,16.974,MAT A(121):C,"BIO(231)/CHE(23
3)/PHY(232):C","BIO(231)/CHE(23
3)/PHY(232):C",
1,1057122,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (AGRICULTURE),15.864,23.701,"BIO(231)/AGR(4
43):C+",CHE(233):C,"MAT
A(121)/PHY(232)
/GEO(312):C",
2,1073122,RONGO UNIVERSITY,BACHELOR OF SCIENCE (AGRICULTURE),15.864,17.043,"BIO(231)/AGR(4
43):C+",CHE(233):C,"MAT
A(121)/PHY(232)
/GEO(312):C",
3,1093122,UNIVERSITY OF EMBU,BACHELOR OF SCIENCE (AGRICULTURE),15.864,17.043,"BIO(231)/AGR(4
43):C+",CHE(233):C,"MAT
A(121)/PHY(232)
/GEO(312):C",
4,1105122,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (AGRICULTURE),15.864,17.043,"BIO(231)/AGR(4
43):C+",CHE(233):C,"MAT
A(121)/PHY(232)
/GEO(312):C",
5,1111122,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (AGRICULTURE),15.864,23.704,"BIO(231)/AGR(4
43):C+",CHE(233):C,"MAT
A(121)/PHY(232)
/GEO(312):C",
6,1114122,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE (AGRICULTURE),15.864,24.913,"BIO(231)/AGR(4
43):C+",CHE(233):C,"MAT
A(121)/PHY(232)
/GEO(312):C",
7,1118122,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (AGRICULTURE),15.864,17.043,"BIO(231)/AGR(4
43):C+",CHE(233):C,"MAT
A(121)/PHY(232)
/GEO(312):C",
8,1166122,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (AGRICULTURE),15.864,17.043,"BIO(231)/AGR(4
43):C+",CHE(233):C,"MAT
A(121)/PHY(232)
/GEO(312):C",
9,1240122,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (AGRICULTURE),15.864,17.043,"BIO(231)/AGR(4
43):C+",CHE(233):C,"MAT
A(121)/PHY(232)
/GEO(312):C",
10,1246122,MURANG'A UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE (AGRICULTURE),15.864,17.043,"BIO(231)/AGR(4
43):C+",CHE(233):C,"MAT
A(121)/PHY(232)
/GEO(312):C",
11,1263122,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (AGRICULTURE),15.864,22.782,"BIO(231)/AGR(4
43):C+",CHE(233):C,"MAT
A(121)/PHY(232)
/GEO(312):C",
12,1077122,KENYA METHODIST UNIVERSITY,BACHELOR OF SCIENCE IN AGRICULTURE,15.864,17.043,"BIO(231)/AGR(4
43):C+",CHE(233):C,"MAT
A(121)/PHY(232)
/GEO(312):C",
13,1087122,KISII UNIVERSITY,BACHELOR OF SCIENCE IN AGRICULTURE,15.864,17.043,"BIO(231)/AGR(4
43):C+",CHE(233):C,"MAT
A(121)/PHY(232)
/GEO(312):C",
14,1091122,TAITA TAVETA UNIVERSITY,BACHELOR OF SCIENCE IN AGRICULTURE,15.864,17.043,"BIO(231)/AGR(4
43):C+",CHE(233):C,"MAT
A(121)/PHY(232)
/GEO(312):C",
15,1117122,PWANI UNIVERSITY,BACHELOR OF SCIENCE IN AGRICULTURE,15.864,17.043,"BIO(231)/AGR(4
43):C+",CHE(233):C,"MAT
A(121)/PHY(232)
/GEO(312):C",
16,1181122,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN AGRICULTURE,15.864,17.043,"BIO(231)/AGR(4
43):C+",CHE(233):C,"MAT
A(121)/PHY(232)
/GEO(312):C",
17,1249122,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE IN AGRICULTURE,29.064,32.284,"BIO(231)/AGR(4
43):C+",CHE(233):C,"MAT
A(121)/PHY(232)
/GEO(312):C",
18,1685122,THARAKA UNIVERSITY,BACHELOR OF SCIENCE IN AGRICULTURE,15.864,-,"BIO(231)/AGR(4
43):C+",CHE(233):C,"MAT
A(121)/PHY(232)
/GEO(312):C",
1,1229132,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (NURSING, WITH IT)",42.529,42.357,BIO(231):C+,CHE(233):C+,"MAT
A(121)/PHY(232)
:C+","ENG(101)/KIS(10
2):C+"
2,1079132,KIRINYAGA UNIVERSITY,BACHELOR OF SCIENCE (NURSING),39.875,39.509,BIO(231):C+,CHE(233):C+,"MAT
A(121)/PHY(232)
:C+","ENG(101)/KIS(10
2):C+"
3,1082132,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF SCIENCE (NURSING),42.475,41.939,BIO(231):C+,CHE(233):C+,"MAT
A(121)/PHY(232)
:C+","ENG(101)/KIS(10
2):C+"
4,1093132,UNIVERSITY OF EMBU,BACHELOR OF SCIENCE (NURSING),39.387,40.621,BIO(231):C+,CHE(233):C+,"MAT
A(121)/PHY(232)
:C+","ENG(101)/KIS(10
2):C+"
5,1105132,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (NURSING),41.38,41.319,BIO(231):C+,CHE(233):C+,"MAT
A(121)/PHY(232)
:C+","ENG(101)/KIS(10
2):C+"
6,1118132,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (NURSING),41.076,40.834,BIO(231):C+,CHE(233):C+,"MAT
A(121)/PHY(232)
:C+","ENG(101)/KIS(10
2):C+"
7,1166132,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (NURSING),39.547,39.03,BIO(231):C+,CHE(233):C+,"MAT
A(121)/PHY(232)
:C+","ENG(101)/KIS(10
2):C+"
8,1240132,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (NURSING),40.452,40.451,BIO(231):C+,CHE(233):C+,"MAT
A(121)/PHY(232)
:C+","ENG(101)/KIS(10
2):C+"
9,1246132,MURANG'A UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE (NURSING),40.399,39.901,BIO(231):C+,CHE(233):C+,"MAT
A(121)/PHY(232)
:C+","ENG(101)/KIS(10
2):C+"
10,1253132,MOI UNIVERSITY,BACHELOR OF SCIENCE (NURSING),42.39,42.216,BIO(231):C+,CHE(233):C+,"MAT
A(121)/PHY(232)
:C+","ENG(101)/KIS(10
2):C+"
11,1263132,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (NURSING),43.676,43.297,BIO(231):C+,CHE(233):C+,"MAT
A(121)/PHY(232)
:C+","ENG(101)/KIS(10
2):C+"
12,1580132,KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (NURSING),40.891,40.027,BIO(231):C+,CHE(233):C+,"MAT
A(121)/PHY(232)
:C+","ENG(101)/KIS(10
2):C+"
13,1057132,EGERTON UNIVERSITY,BACHELOR OF SCIENCE IN NURSING,42.166,41.947,BIO(231):C+,CHE(233):C+,"MAT
A(121)/PHY(232)
:C+","ENG(101)/KIS(10
2):C+"
14,1061132,KABARAK UNIVERSITY,BACHELOR OF SCIENCE IN NURSING,39.768,37.592,BIO(231):C+,CHE(233):C+,"MAT
A(121)/PHY(232)
:C+","ENG(101)/KIS(10
2):C+"
15,1077132,KENYA METHODIST UNIVERSITY,BACHELOR OF SCIENCE IN NURSING,39.32,35.575,BIO(231):C+,CHE(233):C+,"MAT
A(121)/PHY(232)
:C+","ENG(101)/KIS(10
2):C+"
1,1057133,EGERTON UNIVERSITY,BACHELOR OF COMMERCE,30.01,26.655,"MAT
A(121)/MAT
B(122):C",,,
2,1061133,KABARAK UNIVERSITY,BACHELOR OF COMMERCE,21.375,21.444,"MAT
A(121)/MAT
B(122):C",,,
3,1063133,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF COMMERCE,21.375,21.444,"MAT
A(121)/MAT
B(122):C",,,
4,1066133,MANAGEMENT UNIVERSITY OF AFRICA,BACHELOR OF COMMERCE,21.375,21.444,"MAT
A(121)/MAT
B(122):C",,,
5,1068133,PAN AFRICA CHRISTIAN UNIVERSITY,BACHELOR OF COMMERCE,21.375,21.444,"MAT
A(121)/MAT
B(122):C",,,
6,1079133,KIRINYAGA UNIVERSITY,BACHELOR OF COMMERCE,21.375,21.444,"MAT
A(121)/MAT
B(122):C",,,
7,1082133,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF COMMERCE,23.929,21.444,"MAT
A(121)/MAT
B(122):C",,,
8,1087133,KISII UNIVERSITY,BACHELOR OF COMMERCE,24.305,21.444,"MAT
A(121)/MAT
B(122):C",,,
9,1088133,GRETSA UNIVERSITY,BACHELOR OF COMMERCE,21.375,21.444,"MAT
A(121)/MAT
B(122):C",,,
10,1093133,UNIVERSITY OF EMBU,BACHELOR OF COMMERCE,21.375,21.444,"MAT
A(121)/MAT
B(122):C",,,
11,1103133,KCA UNIVERSITY,BACHELOR OF COMMERCE,21.375,21.444,"MAT
A(121)/MAT
B(122):C",,,
12,1105133,CHUKA UNIVERSITY,BACHELOR OF COMMERCE,25.421,23.266,"MAT
A(121)/MAT
B(122):C",,,
13,1108133,KIBABII UNIVERSITY,BACHELOR OF COMMERCE,21.375,21.444,"MAT
A(121)/MAT
B(122):C",,,
14,1114133,UNIVERSITY OF ELDORET,BACHELOR OF COMMERCE,-,-,"MAT
A(121)/MAT
B(122):C",,,
15,1117133,PWANI UNIVERSITY,BACHELOR OF COMMERCE,21.375,21.444,"MAT
A(121)/MAT
B(122):C",,,
16,1118133,UNIVERSITY OF KABIANGA,BACHELOR OF COMMERCE,23.545,-,"MAT
A(121)/MAT
B(122):C",,,
17,1162133,DAYSTAR UNIVERSITY,BACHELOR OF COMMERCE,21.375,21.444,"MAT
A(121)/MAT
B(122):C",,,
18,1164133,MULTIMEDIA UNIVERSITY OF KENYA,BACHELOR OF COMMERCE,24.16,21.444,"MAT
A(121)/MAT
B(122):C",,,
